No,名称,よみ,郵便番号,住所,緯度,経度,電話番号,FAX番号,E-mail,URL
1,生涯学習プラザ,しょうがいがくしゅうぷらざ,9708026,いわき市平字一町目1 ティーワンビル内,37.05487743,140.8881944,0246378888,0246225555,shogaigakushu-plaze@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004759/index.html
2,いわき芸術文化交流館　アリオス１階,いわきげいじゅつぶんかこうりゅうかんありおす,9708026,いわき市平字三崎1-6,37.0498697,140.8895537,0246228111,0246228181,,http://www.city.iwaki.lg.jp/www/contents/1448636752297/index.html
3,いわき芸術文化交流館　アリオス２階,いわきげいじゅつぶんかこうりゅうかんありおす,9708026,いわき市平字三崎1-6,37.0498697,140.8895537,0246228111,0246228181,,http://www.city.iwaki.lg.jp/www/contents/1448636752297/index.html
4,いわき総合図書館４階,いわきそうごうとしょかん,9708026,いわき市平字田町120,37.05697943,140.8920085,0246225552,0246225438,sogo-l@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004740/index.html
5,いわき総合図書館５階,いわきそうごうとしょかん,9708026,いわき市平字田町120,37.05697943,140.8920085,0246225552,0246225438,sogo-l@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004740/index.html
6,いわき市役所本庁舎１階,いわきしやくしょほんちょうしゃ,9708686,いわき市平字梅本21,37.05050628,140.887717,0246221111,0246223662,,http://www.city.iwaki.lg.jp/www/contents/1001000001643/index.html
7,小名浜支所,おなはまししょ,9718162,いわき市小名浜花畑町15-1,36.95471669,140.9037727,0246542111,0246921693,,http://www.city.iwaki.lg.jp/www/contents/1001000002588/index.html
8,勿来支所,なこそししょ,9748232,いわき市錦町大島1,36.90664905,140.7910153,0246632111, 0246632583,,http://www.city.iwaki.lg.jp/www/contents/1001000000005/index.html
9,常磐支所,じょうばんししょ,9728321,いわき市常磐湯本町吹谷76,37.00839806,140.8461535,0246432111,0246430431,,http://www.city.iwaki.lg.jp/www/contents/1001000002413/index.html
10,内郷支所,うちごうししょ,9738403,いわき市内郷綴町榎下46-2,37.03605101,140.8573195,0246262111,0246275183,uchigo-shimin@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000005218/index.html
11,四倉支所,よつくらししょ,9790201,いわき市四倉町字西四丁目11-3,37.10976507,140.9894559,0246322111,0246327280,,http://www.city.iwaki.lg.jp/www/contents/1001000003228/index.html
12,遠野支所,とおのししょ,9720163,いわき市遠野町根岸字白幡40-1,37.00889497,140.7374355,0246892111,0246892823,tono@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000005091/index.html
13,小川支所,おがわししょ,9793122,いわき市小川町高萩字下川原15,37.12739061,140.861131,0246831111,0246832754,,http://www.city.iwaki.lg.jp/www/contents/1001000002607/index.html
14,好間支所,よしまししょ,9701152,いわき市好間町中好間字中川原29-1（好間公民館内）,37.06335785,140.8570218,0246362221,0246368631,yoshima@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000004282/index.html
15,三和支所,みわししょ,9701372,いわき市三和町下市萱字竹ノ内114-1,37.1427393,140.6876081,0246862111,0246862544,miwa@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000003251/index.html
16,田人支所,たびとししょ,9740152,いわき市田人町旅人字下平石191,36.95246397,140.7046992,0246692111,0246692337,tabito@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000001424/index.html
17,川前支所,かわまえししょ,9793201,いわき市川前町川前字五林6,37.20741204,140.7508546,0246842111,0246842476,kawamae@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1001000001809/index.html
18,久之浜・大久支所,ひさのはまおおひさししょ,9790334,いわき市久之浜町西二丁目6-11,37.146293,140.994383,0246822111,0246824412,hisanohamaohisa@city.iwaki.fukushima.jp,http://www.city.iwaki.lg.jp/www/contents/1453786195066/index.html
